"날짜","언론사","제목","링크"
"2022.01.14","한국경제","머스크 ""도지코인, 테슬라 결제 시작""…순식간에 20% 폭등","https://www.hankyung.com/economy/article/202201149632i"
"2022.01.14","조선비즈","테슬라, 전기 픽업트럭 생산 또 연기…“2022년 생산” 홈피 문구 삭제","https://biz.chosun.com/international/international_economy/2022/01/14/VH554CS3WJCEFHWMRB4D5NGPTE/?utm_source=naver&utm_medium=original&utm_campaign=biz"
"2022.01.14","매경이코노미","장중 한때 10% ↑…LG이노텍 ‘테슬라·애플 대량 공급설’의 실체는?","https://www.mk.co.kr/economy/view/2022/43374"
"2022.01.14","이데일리","10대 독일 청년 “13개국서 테슬라 차량 25대 원격 해킹”","http://www.edaily.co.kr/news/newspath.asp?newsid=01538326632197720"
"2022.01.14","디지털데일리","10대 해커에 뚫린 테슬라…원격시동에 차량문 개폐","https://www.ddaily.co.kr/news/article.html?no=229353"
"2022.01.14","매일경제","테슬라·알파벳·아마존 1만원어치 사볼까","http://news.mk.co.kr/newsRead.php?no=43964&year=2022"
"2022.01.14","한국경제TV","금리인상 우려·빅테크 급락에 美증시 하락…테슬라 6%↓ [출근전 꼭 글로벌브리핑]","http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202201140005&t=NN"
"2022.01.14","이투데이","[베스트&워스트] 삼화전자, 테슬라 호재 업고 31.05% '급등'","https://www.etoday.co.kr/news/view/2096749"
"2022.01.14","ZDNet Korea","일론 머스크 ""테슬라 인도 시장 진출, 과제 산적""","https://zdnet.co.kr/view/?no=20220114092002"
"2022.01.14","머니투데이","""아파트 4채 팔아 테슬라·코인에"" 미래에 투자하는 42세 파이어족","http://news.mt.co.kr/mtview.php?no=2022011317530951434"
"2022.01.14","헤럴드경제","[특징주] 오디텍, LG이노텍 테슬라에 전장 카메라 대량 공급에 전장·LED 핵심부품 독점공급 부각","http://news.heraldcorp.com/view.php?ud=20220114000124"
"2022.01.14","글로벌이코노믹","도지코인, 테슬라 결제 옵션 테스트 소식에 8% 폭등","http://www.g-enews.com/ko-kr/news/article/news_all/202201140915205978c4c55f9b3d_1/article.html"
"2022.01.14","매일경제","'17년만에 부활' 무쏘, 전기차도 나온다…'테슬라 킬러' 꿈꾸는 쌍용차, U100 개발중 [왜몰랐을카]","http://news.mk.co.kr/newsRead.php?no=43430&year=2022"
"2022.01.14","ZDNet Korea","일론 머스크 ""테슬라 인도 시장 진출, 과제 산적""","https://zdnet.co.kr/view/?no=20220114092002"
"2022.01.14","머니투데이","""아파트 4채 팔아 테슬라·코인에"" 미래에 투자하는 42세 파이어족","http://news.mt.co.kr/mtview.php?no=2022011317530951434"
"2022.01.14","파이낸셜뉴스","지니언스, 테슬라 전기차 해킹 속 네트워크 보안 플랫폼 1위 부각","http://www.fnnews.com/news/202201141145143718"
"2022.01.14","한국경제","테슬라·애플발(發) 호재에 급등한 LG이노텍…""삼성전기도 테슬라 수혜주""","https://www.hankyung.com/finance/article/202201148137i"
"2022.01.14","매일경제","""테슬라 오토파일럿 따라잡자""…車업계, 자율주행 고도화 사활","http://news.mk.co.kr/newsRead.php?no=43865&year=2022"
"2022.01.14","뉴스1","기술주 매도세 다시 살아나…테슬라 7% 가까이 급락(상보)","https://www.news1.kr/articles/?4554119"
"2022.01.14","더팩트","뉴욕증시, 금리인상 우려에 테슬라 등 기술주 하락…나스닥 2.5%↓","http://news.tf.co.kr/read/economy/1912463.htm"
"2022.01.14","지피코리아","테슬라 '모델S' 요크 스티어링 휠, 애프터마켓 등장","http://www.gpkorea.com/news/articleView.html?idxno=81893"
"2022.01.14","쿠키뉴스","기술주 매도세에 뉴욕증시 하락…테슬라 6.7%↓","http://www.kukinews.com/newsView/kuk202201140004"
"2022.01.14","중소기업신문","韓·美 '금리인상' 드라이브 테슬라에 삼성전자도 휘청(종합)","http://www.smedaily.co.kr/news/articleView.html?idxno=222886"
"2022.01.14","중앙일보","연준 '매파 변신' 우려에 美증시 급락...테슬라 6.8% MS 4.2%↓","https://www.joongang.co.kr/article/25040634"
"2022.01.14","뉴스1","'테슬라 대항마' 리비안 COO 사임 소식에 7% 이상 급락(상보)","https://www.news1.kr/articles/?4554122"
"2022.01.14","머니S","""테슬라 긴장해라"" 스웨덴 전기차회사 폴스타, 작년 판매 2배 증가","http://moneys.mt.co.kr/news/mwView.php?no=2022011409288042714"
"2022.01.14","머니투데이","""금리인상 부담"" 나스닥 2.5% 급락...테슬라 6.7%↓[뉴욕마감]","http://news.mt.co.kr/mtview.php?no=2022011406413916105"
"2022.01.14","AI타임스","빨간불 켜진 테슬라, 자율주행 안전 규제 대상 올라","http://www.aitimes.com/news/articleView.html?idxno=142617"
"2022.01.14","SBS Biz","[김대호 박사의 오늘의 키워드] PPI 물가폭탄·테슬라 해킹·초과세수 착각·회색코뿔소·국민연금 고갈","https://biz.sbs.co.kr/article_hub/20000046589?division=NAVER"
"2022.01.14","글로벌경제","테슬라 6.7%, MS 4.2% 엔비디아 5% 급락...뉴욕증시, 일제히 하락","http://www.getnews.co.kr/news/articleView.html?idxno=568459"
"2022.01.14","베타뉴스","테슬라, 전기차 경쟁에서 폭스바겐 압도…지난해 판매대수 2배 이상","http://www.betanews.net:8080/article/1303037.html"
"2022.01.14","매일경제","'테슬라 족집게' 명성 구긴 크래프트 AI ETF…주가 급락 전 비중 확대","http://news.mk.co.kr/newsRead.php?no=43709&year=2022"
"2022.01.14","뉴스1","[속보] 테슬라 6.75% 급락, 1031.56 달러에 마감","https://www.news1.kr/articles/?4554115"
"2022.01.14","디지털데일리","미국 증시, 또 다시 금리인상 우려…테슬라·리비안 등 전기차 큰 폭 하락","https://www.ddaily.co.kr/news/article.html?no=229311"
"2022.01.14","더구루","현대차 '코나EV' 캐나다 전기차 판매 '2위'…테슬라 '독주'","https://www.theguru.co.kr/news/article.html?no=30285"
"2022.01.14","더구루","'돈나무 언니' 캐시우드가 테슬라 대신 베팅한 전기차 업체는?","https://www.theguru.co.kr/news/article.html?no=30305"
"2022.01.14","매일경제","자율주행 시대 애플·테슬라 '핵심 파트너'…호재만발 LG이노텍 신고가 경신","http://news.mk.co.kr/newsRead.php?no=42702&year=2022"
"2022.01.14","핀포인트뉴스","LG이노텍, 시간외 주가 급등…무슨 일?","http://www.pinpointnews.co.kr/view.php?ud=202201140753284791cd1e7f0bdf_45"
"2022.01.14","핀포인트뉴스","하이비젼시스템, 주가 훈풍…'LG이노텍-테슬라' 계약 소식에 훨훨","http://www.pinpointnews.co.kr/view.php?ud=202201140741053692cd1e7f0bdf_45"
"2022.01.14","디지털데일리","[DD 퇴근길] 장현국 입장 바꾼 그 날, 위믹스 1000만개 빠져나갔다","https://www.ddaily.co.kr/news/article.html?no=229364"
"2022.01.14","데일리카","테슬라 FSD vs. 현대차 HDP..차세대 ADAS 승자는 누구?","http://m.dailycar.co.kr/content/news.html?type=view&autoId=42540"
"2022.01.14","뉴스투데이","[N2 모닝 경제 브리핑-1월 14일] 美 증시, PPI 하회 속 하락...테슬라, 사이버트럭 출시 지연에 6%대 급락","https://www.news2day.co.kr/article/20220114500009"
"2022.01.14","MTN","[투자뉴스7] 테슬라· 리비안 급락! LG엔솔 타고 살아남을 종목은?","https://news.mtn.co.kr/news-detail/?v=2022011409284161149"
"2022.01.14","글로벌이코노믹","중국에서 가장 많이 팔린 전기차는?…테슬라 아닌 우링홍광 미니","http://www.g-enews.com/ko-kr/news/article/news_all/202201141759153114c4c1a19e2e_1/article.html"
"2022.01.14","글로벌이코노믹","테슬라 와르르 급락 전기차 무더기 해킹 뉴욕증시 암호화폐 빅테크 휘청","http://www.g-enews.com/ko-kr/news/article/news_all/2022011405335728564a01bf698f_1/article.html"
"2022.01.14","글로벌이코노믹","니오·샤오펑 등 중국 전기차업체, 엔비디아 칩 탑재 시작…테슬라는 자체 개발 칩 장착","http://www.g-enews.com/ko-kr/news/article/news_all/20220114140633254c4c1a19e2e_1/article.html"
"2022.01.14","이코노뉴스","센트랄모텍·명신산업, 테슬라 관련주 모두 하락 흐름…센트랄모텍 1% 낙폭 이어 명신산업 2% 낙폭","http://www.econonews.co.kr/news/articleView.html?idxno=232960"
"2022.01.14","핀포인트뉴스","삼화전자 주가 갑작스런 급등... 테슬라에 MLCC 공급 매수세 몰려","http://www.pinpointnews.co.kr/view.php?ud=20220114142711642861beb2d9d_45"
"2022.01.14","FETV","""LFP 배터리 韓中 맞대결""...LG엔솔·SK온·삼성SDI vs CATL","https://www.fetv.co.kr/news/article.html?no=106202"
"2022.01.14","핀포인트뉴스","다우지수 나스닥지수 '와르르'... 테슬라 6%↓ 삼성SDI LG화학 SK이노베이션 초비상?","http://www.pinpointnews.co.kr/view.php?ud=202201140638376997861beb2d9d_45"
"2022.01.14","글로벌이코노믹","테슬라 쇼크 뉴욕증시 비트코인 동반 급락 PPI 물가지수 9.7% 폭발","http://www.g-enews.com/ko-kr/news/article/news_all/2022011404415553904a01bf698f_1/article.html"
"2022.01.14","초이스경제","뉴욕증시 마감 40분전...테슬라·엔비디아·애플·Virgin Galactic '급락', 美10년물금리 1.702%","http://www.choicenews.co.kr/news/articleView.html?idxno=88083"
"2022.01.14","초이스경제","뉴욕증시 나스닥100 '추락'...바이오젠 '급등' vs MRVL·JD닷컴·테슬라·모더나·엔비디아 '급락'","http://www.choicenews.co.kr/news/articleView.html?idxno=88091"
"2022.01.14","이코노뉴스","명신산업·엠에스오토텍, 테슬라 관련주 희비 엇갈려…명신산업 소폭 상승 반해 엠에스오토텍 2% 낙폭","http://www.econonews.co.kr/news/articleView.html?idxno=232917"
"2022.01.14","초이스경제","미국증시 마감 약 1시간전...나스닥 '급락', MSFT ·아마존· 테슬라 '급락' vs TSM · 델타항공 '급등'","http://www.choicenews.co.kr/news/articleView.html?idxno=88082"
"2022.01.14","모터트렌드 코리아","2022 <모터트렌드> 올해의 차 - 위너_루시드 에어","https://www.motortrendkorea.com/sub/view.html?no=6361&cate1Name=WHICHCAR"
"2022.01.14","한국경제TV","1월 14일 미국증시 시황정리...브레이너드 연준 부의장 청문회","https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202201140009&t=NNv"
"2022.01.14","뉴스워치","니켈값 폭등, 전기차·배터리 공급망 대란으로 번지나?","http://www.newswatch.kr/news/articleView.html?idxno=57859"
"2022.01.14","연합인포맥스","""미국 반도체株 엔비디아, 전기차 붐 타고 중국서 성공""","http://news.einfomax.co.kr/news/articleView.html?idxno=4193915"
"2022.01.14","글로벌이코노믹","[뉴욕 e종목] 전고체 배터리 업체 퀀텀스케이프, 고정식 연료전지 부문 진출 선언","http://www.g-enews.com/ko-kr/news/article/news_all/202201140359377571be84d87674_1/article.html"
"2022.01.14","뉴시스","코트라 ""中, 2030년 세계 최대 신에너지차 시장 전망""","http://www.newsis.com/view/?id=NISX20220114_0001724376&cID=13001&pID=13000"
"2022.01.14","CIO Korea","칼럼ㅣ‘애플 카’는 1조 시간의 관심 경제를 노리고 있다","https://www.ciokorea.com/news/221944"
"2022.01.14","뉴시스","솔루스첨단소재, 헝가리 정부 인센티브 2400만유로 받는다","http://www.newsis.com/view/?id=NISX20220114_0001724397&cID=13001&pID=13000"
"2022.01.14","파이낸셜뉴스","미래에셋벤처가 찜한 크래프트, 소프트뱅크 투자유치 ‘잭팟’ 눈길","http://www.fnnews.com/news/202201140855139638"
"2022.01.14","매일경제","매파색 짙어진 美연준…""인플레 강하게 억제""","http://news.mk.co.kr/newsRead.php?no=44075&year=2022"
"2022.01.14","신동아","1년 기다림 끝 상장 LG엔솔… 中 CATL 시총 따라잡나","https://shindonga.donga.com/3/all/13/3143155/1"
"2022.01.14","이데일리","[뉴욕증시]3월 인상 시사한 브레이너드…나스닥 2.5% 급락","http://www.edaily.co.kr/news/newspath.asp?newsid=01213606632197720"
"2022.01.14","아시아경제","美 연내 4회 금리 인상 가능성 확대‥나스닥 2.5% 추락","https://view.asiae.co.kr/article/2022011406430185378"
"2022.01.14","일간스포츠","'소고기값' 번다는 LG엔솔, 청약 준비 어떻게?","http://isplus.live.joins.com/news/article/article.asp?total_id=24190614"
"2022.01.14","조선일보","“지수 빠졌을 때 이 주식 사라”","https://www.chosun.com/economy/2022/01/14/PSHRBWQG5FBGFNLG4KSYYLDIQU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news"
"2022.01.14","머니S","韓소비자, '디젤 사랑' 끝… 전기·하이브리드차로 갈아탔다","http://moneys.mt.co.kr/news/mwView.php?no=2022011414288031675"
"2022.01.14","이데일리","[속보]애플 등 빅테크주 일제히 급락…나스닥 2.5%↓","http://www.edaily.co.kr/news/newspath.asp?newsid=01190646632197720"
"2022.01.14","블로터","‘IDM’ 의식하는 TSMC, 벌어들인 현금만큼 투자한다","http://www.bloter.net/newsView/blt202201140035"
"2022.01.14","매일경제","애플인재 빼와 자체 반도체칩 개발 나선 MS","http://news.mk.co.kr/newsRead.php?no=43987&year=2022"
"2022.01.14","스포츠경향","'에디슨EV' 고성장 흑자 전환한 이유…에디슨 기술 경쟁력·로드맵 주목해야","http://sports.khan.co.kr/news/sk_index.html?art_id=202201141029003&sec_id=563002&pt=nv"
"2022.01.14","매경이코노미","벤츠 공급에 이노텍·디스플레이는 실적 호전…LG 전장 사업 잘나가네","https://www.mk.co.kr/economy/view/2022/43796"
"2022.01.14","MBC","뉴욕증시 일제히 동반 하락세","https://imnews.imbc.com/replay/2022/nwtoday/article/6332779_35752.html"
"2022.01.14","매일경제","[BOOKS] 아들아, 주식은 사는 것이지 파는 게 아니야","http://news.mk.co.kr/newsRead.php?no=43792&year=2022"
"2022.01.14","이투데이","[급등락주 짚어보기] 크라운해태홀딩스 등 軍 보호구역 해제 수혜 기대 ‘상한가’","https://www.etoday.co.kr/news/view/2096667"
"2022.01.14","서울경제","“이번엔 못 피했다”···기술주 하락에 나스닥 2.51%↓ [데일리 국제금융시장]","https://www.sedaily.com/NewsView/260V0RUY4N"
"2022.01.14","머니투데이","美 금리인상 우려에 기술주 부진…""국내 반도체 밸류체인 주목""","http://news.mt.co.kr/mtview.php?no=2022011407273383783"
"2022.01.14","매일경제","코스피, 금리 인상 '압박' 외인·기관 쌍매도 '휘청'…2921.92 마감","http://news.mk.co.kr/newsRead.php?no=43708&year=2022"
"2022.01.14","이데일리","브레이너드 한 마디에 비트코인 털썩…추가 하락 가능성은?","http://www.edaily.co.kr/news/newspath.asp?newsid=01321846632197720"
"2022.01.14","한국경제","미성년계좌 2년간 평균 수익률 42%","https://www.hankyung.com/finance/article/2022011498491"
"2022.01.14","매일경제","[단독] LG엔솔, 美 GM 이어 日 혼다 손잡고…배터리 세계 1위 승부수","http://news.mk.co.kr/newsRead.php?no=41146&year=2022"
"2022.01.14","조선비즈","[특징주] 네이버·카카오, 美 기술주 부진에 낙폭 키워","https://biz.chosun.com/stock/market_trend/2022/01/14/ZAGCHIWL6JGRLB37ML6GBBANCQ/?utm_source=naver&utm_medium=original&utm_campaign=biz"
"2022.01.14","뉴스핌","1/14 GAM 뉴스브리핑","http://www.newspim.com/news/view/20220114000029"
"2022.01.14","머니투데이","CES의 정의선, 무대 위의 최태원[광화문]","http://news.mt.co.kr/mtview.php?no=2022011111043942569"
"2022.01.14","이투데이","골드만삭스, 3번 금리인상 전망했지만...""올해도 미국 주식이 답""","https://www.etoday.co.kr/news/view/2096648"
"2022.01.14","SBS Biz","뉴욕증시 하락 마감…나스닥 2.51%↓","https://biz.sbs.co.kr/article_hub/20000046582?division=NAVER"
"2022.01.14","뉴스웍스","[14일 특징주] DMZ 보호구역 해제에 관련주 강세…코아스 등 8개 종목 상한가","http://www.newsworks.co.kr/news/articleView.html?idxno=588661"
"2022.01.14","MTN","배터리업계, '600조' 배터리 재활용 시장 '정조준'","https://news.mtn.co.kr/news-detail/?v=2022011416573131224"
"2022.01.14","이데일리","'빅2' 체제 개편 놓친 조선업…첨단기술·친환경 가속화하나","http://www.edaily.co.kr/news/newspath.asp?newsid=01692486632197720"
"2022.01.14","전기신문","떠오르는 중국 新에너지차 시장서 기회찾자","http://www.electimes.com/article.php?aid=1642119378227864010"
"2022.01.14","매경이코노미","올해는 전기차 풍년, 기다릴만 했네...알수록 탐나는 '신차' 베스트 5","https://www.mk.co.kr/economy/view/2022/41231"
"2022.01.14","뉴스1","'유튜브 신기원' 아기상어가 열었다…100억 뷰 돌파(상보)","https://www.news1.kr/articles/?4554539"
"2022.01.14","경기신문","2022년 주목해야할 '올해 車산업 트렌드'","https://www.kgnews.co.kr/news/article.html?no=685444"
"2022.01.14","이투데이","[상보] 뉴욕증시, 긴축 불안·기술주 차익실현에 나스닥 2.51% 급락","https://www.etoday.co.kr/news/view/2096420"
"2022.01.14","헬로티","자동차 산업, “코로나 이전 수준, 내년이나 가능할 전망”","https://www.hellot.net/news/article.html?no=65009"
"2022.01.14","연합인포맥스","[오전 주요 국제금융뉴스] (14일)","http://news.einfomax.co.kr/news/articleView.html?idxno=4193910"
"2022.01.14","서울경제TV","지니언스, 테슬라 차량 해킹 당해…정보 보안 국내 플랫폼 1위 관심↑","http://www.sentv.co.kr/news/view/609631"
"2022.01.14","모터트렌드 코리아","2022 <모터트렌드> 올해의 차 - 위너_루시드 에어","https://www.motortrendkorea.com/sub/view.html?no=6361&cate1Name=WHICHCAR"
"2022.01.14","한국경제","포드, 날아올랐다…시총 1000억달러로 '껑충'","https://www.hankyung.com/finance/article/2022011498441"
"2022.01.14","내외경제tv","[내외코인통] 도지코인(DOGE), 일론 머스크 한마디에 ↑","http://www.nbntv.co.kr/news/articleView.html?idxno=949650"
"2022.01.14","내외경제tv","대세 관련주만 가지고 있는 LG이노텍, 주가 관심↑","http://www.nbntv.co.kr/news/articleView.html?idxno=949566"
"2022.01.14","한국경제TV","1월 14일 미국증시 시황정리...브레이너드 연준 부의장 청문회","https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202201140009&t=NNv"
"2022.01.14","뉴스워치","니켈값 폭등, 전기차·배터리 공급망 대란으로 번지나?","http://www.newswatch.kr/news/articleView.html?idxno=57859"
"2022.01.14","핀포인트뉴스","오디텍, 외인 팔자에도 돌연 주가 상한가 달성…무슨 일?","http://www.pinpointnews.co.kr/view.php?ud=202201141332253825a029d22e5e_45"
"2022.01.14","연합인포맥스","""미국 반도체株 엔비디아, 전기차 붐 타고 중국서 성공""","http://news.einfomax.co.kr/news/articleView.html?idxno=4193915"
"2022.01.14","글로벌이코노믹","[뉴욕 e종목] 전고체 배터리 업체 퀀텀스케이프, 고정식 연료전지 부문 진출 선언","http://www.g-enews.com/ko-kr/news/article/news_all/202201140359377571be84d87674_1/article.html"
"2022.01.14","뉴시스","코트라 ""中, 2030년 세계 최대 신에너지차 시장 전망""","http://www.newsis.com/view/?id=NISX20220114_0001724376&cID=13001&pID=13000"
"2022.01.14","CIO Korea","칼럼ㅣ‘애플 카’는 1조 시간의 관심 경제를 노리고 있다","https://www.ciokorea.com/news/221944"
"2022.01.14","연합뉴스","연준의 매파 변신에 기술주 다시 추락…나스닥 2.5%↓","http://yna.kr/AKR20220114013600072?did=1195m"
"2022.01.14","뉴시스","솔루스첨단소재, 헝가리 정부 인센티브 2400만유로 받는다","http://www.newsis.com/view/?id=NISX20220114_0001724397&cID=13001&pID=13000"
"2022.01.14","이데일리","[뉴스새벽배송]美 3월 금리인상 시사에 하락…오늘 거리두기 방안발표","http://www.edaily.co.kr/news/newspath.asp?newsid=01298886632197720"
"2022.01.14","헤럴드경제","흔들리는 ‘中 CATL 천하’…K배터리, 세계시장 뒤흔든다","http://news.heraldcorp.com/view.php?ud=20220114000376"
"2022.01.14","파이낸셜뉴스","미래에셋벤처가 찜한 크래프트, 소프트뱅크 투자유치 ‘잭팟’ 눈길","http://www.fnnews.com/news/202201140855139638"
"2022.01.14","매일경제","매파색 짙어진 美연준…""인플레 강하게 억제""","http://news.mk.co.kr/newsRead.php?no=44075&year=2022"
"2022.01.14","뉴시스","뉴욕 증시 기술주 약세에 하락 마감…나스닥 2.5% ↓","http://www.newsis.com/view/?id=NISX20220114_0001724042&cID=10101&pID=10100"
"2022.01.14","뉴스1","전기차 열풍에 포드 부활…시총 1000억 달러 돌파 '사상최초'","https://www.news1.kr/articles/?4554129"
